sigma,test_loss,test_acc,trial
0,0.02926176522921839,99.12,0
1,1.434505497574047,57.4,0
2,7.145581813374902,13.76,0
3,12.033659114959134,9.82,0
4,15.900322823008155,9.77,0
5,18.89209635546253,9.68,0
6,21.606669614269475,9.79,0
7,24.390577705043135,9.76,0
8,27.288167795557886,9.75,0
0,0.020811978325686733,99.39,1
1,4.804479759969529,21.1,1
2,12.516720504517767,9.81,1
3,15.780570765209806,9.74,1
4,16.53939226478528,9.74,1
5,16.737188442497498,9.74,1
6,17.19716017413291,9.66,1
7,17.959761789649914,9.74,1
8,18.831562333805547,9.7,1
0,0.02695274425286408,99.19,2
1,2.963664442110973,36.11,2
2,11.154555017021812,11.2,2
3,17.43140871205907,10.6,2
4,26.468501753108516,9.93,2
5,37.74106908907556,9.79,2
6,50.39951215124434,9.86,2
7,63.04132857596039,9.83,2
8,75.03005979015569,9.83,2
