activation,trial,sigma,test_loss,test_acc
zailu_approx,0,0,0.023687786205491824,99.21000000000001
zailu_approx,0,1,9.559200010330056,15.463000000000003
zailu_approx,0,2,23.843604189878818,9.742
zailu_approx,0,3,33.15531105418114,9.740000000000002
zailu_approx,0,4,40.911175183581705,9.740000000000002
zailu_approx,0,5,47.921807034000466,9.740000000000002
zailu_approx,0,6,54.592625981227606,9.740000000000002
zailu_approx,0,7,60.998638382686934,9.740000000000002
zailu_approx,0,8,67.33650595549565,9.740000000000002
zailu_approx,1,0,0.03022405828010428,99.02
zailu_approx,1,1,4.025895273533596,33.384499999999996
zailu_approx,1,2,10.218110041405746,18.577000000000005
zailu_approx,1,3,13.410525080808409,13.907
zailu_approx,1,4,16.053346867773943,11.684000000000001
zailu_approx,1,5,18.53079375765126,10.814999999999998
zailu_approx,1,6,20.917190361326668,10.294500000000001
zailu_approx,1,7,23.254675384691563,10.148
zailu_approx,1,8,25.534659482263457,9.9445
zailu_approx,2,0,0.020728774924748096,99.42000000000002
zailu_approx,2,1,5.137333858696519,28.667
zailu_approx,2,2,11.39225942891115,13.653
zailu_approx,2,3,13.98500056934964,10.881000000000002
zailu_approx,2,4,15.829938915580701,9.911000000000001
zailu_approx,2,5,17.445507581066934,9.719000000000001
zailu_approx,2,6,18.96676094243481,9.571500000000002
zailu_approx,2,7,20.490385463738896,9.607499999999998
zailu_approx,2,8,21.984967551261757,9.7345
zailu_approx,3,0,0.06669277112763619,98.32999999999998
zailu_approx,3,1,0.6925740841277844,78.575
zailu_approx,3,2,3.903034076872905,27.9215
zailu_approx,3,3,6.513652041915117,16.6895
zailu_approx,3,4,8.37909978696495,13.4185
zailu_approx,3,5,9.933632376695135,12.057
zailu_approx,3,6,11.329652894985903,11.331
zailu_approx,3,7,12.581469793076726,10.964499999999997
zailu_approx,3,8,13.76303056516465,10.678
zailu_approx,4,0,0.02184573938036016,99.22
zailu_approx,4,1,1.2968392810813942,63.93849999999999
zailu_approx,4,2,13.097328120735801,10.389999999999999
zailu_approx,4,3,23.390231054148096,9.744499999999999
zailu_approx,4,4,31.75957694752201,9.740000000000002
zailu_approx,4,5,39.20776688764049,9.740000000000002
zailu_approx,4,6,46.13673941010882,9.740000000000002
zailu_approx,4,7,52.809738606252495,9.740000000000002
zailu_approx,4,8,59.229438328591115,9.740000000000002
zailu_approx,5,0,0.018925651412367885,99.38000000000002
zailu_approx,5,1,1.8638365857160775,55.2715
zailu_approx,5,2,6.126865629481662,22.0065
zailu_approx,5,3,8.227078923602015,14.523
zailu_approx,5,4,9.591333092853521,11.844000000000001
zailu_approx,5,5,10.748545143406862,10.844999999999999
zailu_approx,5,6,11.925620234240393,10.2855
zailu_approx,5,7,13.143223072465059,10.109
zailu_approx,5,8,14.362052940259314,10.009
zailu_approx,6,0,0.048235418974626014,98.54999999999998
zailu_approx,6,1,1.2297398491649871,66.208
zailu_approx,6,2,6.582253645483855,20.679000000000002
zailu_approx,6,3,12.771265061493892,11.249500000000001
zailu_approx,6,4,18.279578784165107,10.173
zailu_approx,6,5,22.880068498963762,10.1045
zailu_approx,6,6,26.903249315395477,10.101
zailu_approx,6,7,30.56467153342666,10.099999999999998
zailu_approx,6,8,33.96044997014816,10.099999999999998
zailu_approx,7,0,0.03411524437117105,99.01
zailu_approx,7,1,2.43540760056608,50.94199999999999
zailu_approx,7,2,7.646339412707431,18.564
zailu_approx,7,3,11.024254228506878,11.892
zailu_approx,7,4,13.39331506984249,10.6445
zailu_approx,7,5,15.410230428549895,10.279
zailu_approx,7,6,17.334279953294498,10.1215
zailu_approx,7,7,19.20506389581474,9.989
zailu_approx,7,8,21.122097175743928,9.969000000000001
zailu_approx,8,0,0.03364181925007291,99.03
zailu_approx,8,1,1.4087011330446617,58.934000000000005
zailu_approx,8,2,7.2088765168645565,16.092999999999996
zailu_approx,8,3,14.954617067203404,10.339
zailu_approx,8,4,22.22610722134827,10.104
zailu_approx,8,5,28.84396852809153,10.1005
zailu_approx,8,6,34.9439060350892,10.099999999999998
zailu_approx,8,7,40.684899094454046,10.099999999999998
zailu_approx,8,8,46.16880271206996,10.099999999999998
zailu_approx,9,0,0.04174647146871514,98.67000000000002
zailu_approx,9,1,5.910850065225249,30.919499999999992
zailu_approx,9,2,12.948997033781305,14.407500000000002
zailu_approx,9,3,16.667428162143487,11.487
zailu_approx,9,4,19.294098962795964,10.736500000000001
zailu_approx,9,5,21.537790491019084,10.535499999999999
zailu_approx,9,6,23.66091484507178,10.338999999999999
zailu_approx,9,7,25.71751349321596,10.2425
zailu_approx,9,8,27.784978216013332,10.1505
